
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/1-downstream8;RFGW10-Channel_7/5.1-Gi7/11;37;28.3;0.69;11.18;68.46;0;0;0
Modular-Cable7/1/1-downstream9;RFGW10-Channel_7/5.2-Gi7/11;37;28.37;0.68;11.19;67.43;0;0;0
Modular-Cable7/1/1-downstream4;RFGW10-Channel_7/6.13-Gi7/11;37;28.55;0.19;11.17;65.61;0;0;0
Modular-Cable7/1/1-downstream5;RFGW10-Channel_7/6.14-Gi7/11;37;28.54;0.19;11.15;65.7;0;0;0
Modular-Cable7/1/1-downstream6;RFGW10-Channel_7/6.15-Gi7/11;37;28.4;0.19;11.15;65.46;0;0;0
Modular-Cable7/1/1-downstream7;RFGW10-Channel_7/6.16-Gi7/11;37;28.4;0.19;11.15;65.78;0;0;0
Modular-Cable7/1/1-downstream0;RFGW10-Channel_7/6.9-Gi7/11;37;28.64;0.22;11.34;66.57;0;0;0
Modular-Cable7/1/1-downstream1;RFGW10-Channel_7/5.3-Gi7/11;37;28.61;0.19;11.27;66.04;0;0;0
Modular-Cable7/1/1-downstream2;RFGW10-Channel_7/6.5-Gi7/11;37;28.53;0.19;11.2;65.42;0;0;0
Modular-Cable7/1/1-downstream3;RFGW10-Channel_7/6.12-Gi7/11;37;28.42;0.19;11.18;65.7;0;0;0
Modular-Cable7/1/1-downstream23;RFGW10-Channel_7/6.8-Gi7/11;37;28.26;0.38;11.64;69.52;0;0;0
Modular-Cable7/1/1-downstream22;RFGW10-Channel_7/6.7-Gi7/11;37;28.36;0.38;11.18;68.11;0;0;0
Modular-Cable7/1/1-downstream21;RFGW10-Channel_7/6.6-Gi7/11;37;28.14;0.37;11.18;68.48;0;0;0
Modular-Cable7/1/1-downstream20;RFGW10-Channel_7/6.5-Gi7/11;37;28.31;0.37;11.18;68.25;0;0;0
Modular-Cable7/1/1-downstream16;RFGW10-Channel_7/6.1-Gi7/11;37;28.25;0.37;11.17;68.04;0;0;0
Modular-Cable7/1/1-downstream17;RFGW10-Channel_7/6.2-Gi7/11;37;28.29;0.37;11.18;68.06;0;0;0
Modular-Cable7/1/1-downstream14;RFGW10-Channel_7/5.7-Gi7/11;37;28.41;0.69;11.32;68.29;0;0;0
Modular-Cable7/1/1-downstream15;RFGW10-Channel_7/5.8-Gi7/11;37;28.29;0.69;11.21;67.49;0;0;0
Modular-Cable7/1/1-downstream12;RFGW10-Channel_7/5.5-Gi7/11;37;28.36;0.69;11.19;67.14;0;0;0
Modular-Cable7/1/1-downstream13;RFGW10-Channel_7/5.6-Gi7/11;37;28.41;0.69;11.18;68.49;0;0;0
Modular-Cable7/1/1-downstream10;RFGW10-Channel_7/5.3-Gi7/11;37;28.4;0.69;11.2;68.43;0;0;0
Modular-Cable7/1/1-downstream11;RFGW10-Channel_7/5.4-Gi7/11;37;28.4;0.69;11.18;67.22;0;0;0
Modular-Cable7/1/1-downstream18;RFGW10-Channel_7/6.3-Gi7/11;37;28.4;0.37;11.27;68.06;0;0;0
Modular-Cable7/1/1-downstream19;RFGW10-Channel_7/6.4-Gi7/11;37;28.47;0.38;11.17;67.57;0;0;0


Node_BRA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/0-downstream22;;37;33.41;0.32;11.95;76.04;8;0;0
Integrated-Cable0/0/0-downstream23;;37;33.53;0.34;12.19;76.22;7;0;0
Integrated-Cable0/0/0-downstream20;;37;33.36;0.33;12.09;76.26;8;0;0
Integrated-Cable0/0/0-downstream21;;37;33.4;0.31;12.16;77.66;8;0;0
Integrated-Cable0/0/0-downstream3;;37;30.22;1.13;12.9;68.53;1;0;0
Integrated-Cable0/0/0-downstream2;;37;30.11;1.08;12.93;69.05;1;0;0
Integrated-Cable0/0/0-downstream1;;37;30.18;1.08;12.95;68.28;1;0;0
Integrated-Cable0/0/0-downstream0;;37;30.22;1.13;13.08;68.42;1;0;0
Integrated-Cable0/0/0-downstream7;;37;30.18;1.12;12.87;68.62;1;0;0
Integrated-Cable0/0/0-downstream6;;37;30.24;1.08;12.77;68.3;1;0;0
Integrated-Cable0/0/0-downstream5;;37;30.17;1.07;12.81;68.48;1;0;0
Integrated-Cable0/0/0-downstream4;;37;30.24;1.14;12.95;68.42;1;0;0
Integrated-Cable0/0/0-downstream9;;37;26.27;0.31;10.89;59.28;0;0;0
Integrated-Cable0/0/0-downstream8;;37;26.82;0.71;10.92;60.23;0;0;0
Integrated-Cable0/0/0-downstream19;;37;33.36;0.33;12.07;76.2;7;0;0
Integrated-Cable0/0/0-downstream18;;37;33.34;0.31;11.97;76.05;7;0;0
Integrated-Cable0/0/0-downstream13;;37;26.26;0.35;10.72;59.88;0;0;0
Integrated-Cable0/0/0-downstream12;;37;23.55;0.32;10.78;58.91;0;0;0
Integrated-Cable0/0/0-downstream11;;37;23.39;0.32;10.68;58.01;0;0;0
Integrated-Cable0/0/0-downstream10;;37;24.8;0.3;10.83;59.32;0;0;0
Integrated-Cable0/0/0-downstream17;;37;33.45;0.33;12.1;76.08;8;0;0
Integrated-Cable0/0/0-downstream16;;37;33.5;0.33;12.13;76.17;8;0;0
Integrated-Cable0/0/0-downstream15;;37;26.04;0.31;10.64;58.81;0;0;0
Integrated-Cable0/0/0-downstream14;;37;23.23;0.29;10.49;58.08;0;0;0


Node_BRA-02

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Integrated-Cable0/0/6-downstream19;;37;32.21;0.85;13.56;75.4;7;0;0
Integrated-Cable0/0/6-downstream18;;37;32.18;0.82;13.36;74.91;7;0;0
Integrated-Cable0/0/6-downstream15;;37;30.63;1.05;11.81;68.52;1;0;0
Integrated-Cable0/0/6-downstream14;;37;30.61;1.0;11.66;68.22;1;0;0
Integrated-Cable0/0/6-downstream17;;37;32.21;0.8;13.4;74.52;7;0;0
