
Node_APA-01

INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
INTERFACE;DESCRIPTION;CAPACIDADE TOTAL(MBPS);MAX(MBPS);MIN(MBPS);AVG(MBPS);BANDA TOTAL UTILIZADA 99TH PERCENTIL(%); ACIMA DE 80%; ACIMA DE 95%;TEMPO ESTIMADO DE UTILIZACAO ACIMA DE 95%(MIN)
Modular-Cable7/1/1-downstream8;RFGW10-Channel_7/5.1-Gi7/11;37;28.59;0.68;10.99;57.17;0;0;0
Modular-Cable7/1/1-downstream9;RFGW10-Channel_7/5.2-Gi7/11;37;28.44;0.69;10.98;57.01;0;0;0
Modular-Cable7/1/1-downstream4;RFGW10-Channel_7/6.13-Gi7/11;37;24.88;0.21;11.41;57.6;0;0;0
Modular-Cable7/1/1-downstream5;RFGW10-Channel_7/6.14-Gi7/11;37;24.78;0.21;11.39;57.41;0;0;0
Modular-Cable7/1/1-downstream6;RFGW10-Channel_7/6.15-Gi7/11;37;24.93;0.21;11.38;57.58;0;0;0
Modular-Cable7/1/1-downstream7;RFGW10-Channel_7/6.16-Gi7/11;37;24.84;0.21;11.37;57.54;0;0;0
Modular-Cable7/1/1-downstream0;RFGW10-Channel_7/6.9-Gi7/11;37;24.94;0.3;11.52;57.94;0;0;0
Modular-Cable7/1/1-downstream1;RFGW10-Channel_7/5.3-Gi7/11;37;24.89;0.21;11.48;57.82;0;0;0
Modular-Cable7/1/1-downstream2;RFGW10-Channel_7/6.5-Gi7/11;37;24.8;0.21;11.45;58.09;0;0;0
Modular-Cable7/1/1-downstream3;RFGW10-Channel_7/6.12-Gi7/11;37;24.88;0.21;11.42;57.66;0;0;0
Modular-Cable7/1/1-downstream23;RFGW10-Channel_7/6.8-Gi7/11;37;30.32;0.23;11.47;68.56;1;0;0
Modular-Cable7/1/1-downstream22;RFGW10-Channel_7/6.7-Gi7/11;37;29.73;0.23;11.12;66.62;1;0;0
Modular-Cable7/1/1-downstream21;RFGW10-Channel_7/6.6-Gi7/11;37;29.61;0.23;11.11;65.8;1;0;0
Modular-Cable7/1/1-downstream20;RFGW10-Channel_7/6.5-Gi7/11;37;29.75;0.23;11.12;65.56;1;0;0
Modular-Cable7/1/1-downstream16;RFGW10-Channel_7/6.1-Gi7/11;37;29.77;0.23;11.15;65.65;1;0;0
Modular-Cable7/1/1-downstream17;RFGW10-Channel_7/6.2-Gi7/11;37;29.89;0.23;11.14;65.63;1;0;0
Modular-Cable7/1/1-downstream14;RFGW10-Channel_7/5.7-Gi7/11;37;28.71;0.68;11.07;57.51;0;0;0
Modular-Cable7/1/1-downstream15;RFGW10-Channel_7/5.8-Gi7/11;37;28.45;0.68;11.01;57.79;0;0;0
Modular-Cable7/1/1-downstream12;RFGW10-Channel_7/5.5-Gi7/11;37;28.62;0.68;10.99;57.09;0;0;0
Modular-Cable7/1/1-downstream13;RFGW10-Channel_7/5.6-Gi7/11;37;28.5;0.67;10.99;57.16;0;0;0
Modular-Cable7/1/1-downstream10;RFGW10-Channel_7/5.3-Gi7/11;37;28.47;0.68;11.03;57.09;0;0;0
Modular-Cable7/1/1-downstream11;RFGW10-Channel_7/5.4-Gi7/11;37;28.65;0.68;11.01;57.22;0;0;0
